Inkoop voor klant
Inkoop voor klant - jaarlijks
Eigen onkosten - jaarlijks
Eigen onkosten - eenmalig
Verkoop factuur
Creditnota
Bankafschrift
Overige
Prive uitgave
Archief - overigen
Archief - agenda
Voedsel, drank, genotmiddelen, representatie, congressen, seminars, studiereizen
Telefoonabonnement thuis
Zakelijke telefoongesprekken thuis
Algemene literatuur
Vakliteratuur
Werkkleding
Kleding en persoonlijke verzorging
Aktetassen e.d.
Verhuiskosten beperkt.
Huisvesting buiten de woonplaats vrijwel altijd aftrekbaar. 
Vaartuigen voor representatieve doeleinden
Mobiele telefoon voor de zaak
